date,zone,human_pop,dog_pop,human_dog_ratio,vacc_dog,not_vacc_dog,vacc_coverage
May-20,N_1,2521155,"6,954",0.28,6020,934,86.57
May-20,N_2,2932555,"4,248",0.14,3710,538,87.34
May-20,N_3,1965565,"3,949",0.2,3605,344,91.29
May-20,N_4,1256944,"3,641",0.29,3206,435,88.05
May-20,N_5,1125566,"5,469",0.49,4592,877,83.96
May-20,S_1,2888110,"2,179",0.08,1972,207,90.5
May-20,S_2,3223505,"6,158",0.19,6130,28,99.55
May-20,S_3,3536582,"5,066",0.14,4620,446,91.2
May-20,S_4,3202502,"2,098",0.07,1963,135,93.57
May-20,S_5,2145563,"14,982",0.7,13762,1220,91.86
